"","ID_2","ID_1","ID_0","duration","lati","long","Q1","Q2","gender","age","taking_freq","posting_freq","editing_app_freq","Heightinmeter","BMI","height","weight","num_taken","num_posted","SNS_1_Wechat","SNS_2_Weibo","SNS_3_Douyin","check_sns","SNS_4_XHS","SNS_5_QQ","ed1_cropping","ed2_brightness","ed3_exposure","ed4_filter","ed5_colortoblack","ed6_retouch","ed7_whiten","ed8_complexion","ed9_slimface","ed10_acne","ed11_bigeyes","ed12_auto","bd1_face","bd2_hair","bd3_upper","bd4_stomach","check_bd","bd5_lower","bd6_muscle","bd7_weight","bd8_height","bd9_overall","obj_1","obj_2","obj_3","obj_4","obj_5","obj_6","obj_7","check_obj","obj_8","obj_9","obj_10","obj_11","obj_12","obj_13","obj_14","obj_15","obj_16","obj_17","cosm_1","cosm_2","cosm_3","cosm_4","cosm_5","facesur_1","facesur_2","facesur_3","facesur_4","facesur_5","facesur_6","facesur_7","facesur_8","bsur_1","bsur_2","bsur_3","bsur_4","bsur_5","check_bsur","bsur_6","bsur_7","bsur_8","invst_1","invst_2","invst_3","invst_4","invst_5","invst_6","invst_7","invst_8","intlz_1","intlz_2","intlz_3","intlz_4","intlz_5","intlz_6","intlz_7","intlz_8","intlz_9","check_intlz","intlz_10","intlz_11","intlz_12","intlz_13","intlz_14","intlz_15","nar1","nar2","nar3","nar4","nar5","nar6","nar7","nar8","nar9","nar10","nar11","nar12","nar13","nar14","nar15","nar16","nar17","nar18","nar19","nar20","Q31"
"185",185,8,422,"7910","41.11669921875","122.04998779296875","3",NA,"1","3","6","8","5",1.66,22.8625344752504,166,"63","31","21","6","5","5","5","2","2","3","4","4","4","2","4","4","2","2","2","4","4","4","4","4","5","5","4","4","4","4","4","7","6","5","6","7","6","6","7","5","6","7","6","6","6","5","6","6","5","4","4","2","4","4","4","5","5","2","4","4","4","2","2","2","2","2","4","1","4","2","2","4","2","2","4","4","4","2","4","5","5","2","5","2","2","5","5","4","4","2","2","4","5","5","4","4","4","5","5","5","5","4","4","5","4","4","4","5","4","4","4","3","4","4","4","1174498"
"189",189,197,147,"463","41.12359619140625","122.989990234375","3",NA,"1","3","6","8","5",1.66,22.8625344752504,166,"63","26","21","5","5","4","5","2","3","3","3","4","4","3","4","4","3","3","2","3","4","4","4","4","5","5","4","4","4","4","4","6","7","5","7","7","6","6","7","6","6","7","5","7","6","6","7","7","6","4","4","2","4","4","4","4","4","2","4","4","4","2","2","2","2","2","4","1","4","2","2","4","2","2","4","4","4","2","4","4","5","1","5","1","1","4","4","5","4","1","2","5","4","4","4","5","4","5","4","4","4","4","5","4","4","4","5","5","5","4","4","3","4","4","4","786115"
"65",65,125,437,"790","23.030807495117188","113.7174072265625","3",NA,"1","3","2","2","2",1.58,22.8328793462586,158,"57","2","2","6","6","2","5","1","1","2","3","3","5","1","5","5","5","5","5","5","4","2","2","1","2","5","1","3","2","2","2","7","6","4","5","7","6","5","7","4","7","7","3","5","7","7","7","7","1","1","1","5","1","4","5","5","5","1","5","5","5","1","1","1","2","1","5","1","5","1","2","1","5","5","5","5","5","1","5","3","4","2","4","2","2","2","4","4","4","2","2","4","2","5","5","1","4","4","2","4","4","2","4","1","2","1","1","2","1","4","4","4","4","1","1","1842538"
"132",132,17,129,"650","32.06170654296875","118.77780151367188","3",NA,"1","3","3","2","5",1.56,22.6002629848784,156,"55","2","1","3","4","1","5","1","1","4","4","2","5","2","4","4","4","5","2","4","4","4","4","2","2","5","4","3","2","2","3","7","5","6","4","5","6","4","7","4","5","6","4","6","5","5","5","6","4","2","2","4","2","4","3","3","4","2","2","2","2","4","2","4","4","3","2","1","3","2","4","2","4","3","4","4","4","4","2","2","2","4","4","4","4","2","2","2","4","4","2","2","3","2","2","1","3","2","4","2","2","2","2","1","2","1","1","3","1","2","2","4","2","1","2","1462266"
"83",83,178,418,"766","30.585601806640625","114.26651000976563","3",NA,"1","2","2","2","4",1.5,22.2222222222222,150,"50","2","1","5","5","4","5","3","1","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","2","5","1","1","2","1","2","7","4","4","4","7","5","5","7","5","7","6","5","5","7","6","4","6","3","4","4","2","4","5","3","2","3","4","3","2","2","2","2","2","4","3","4","1","4","1","3","2","4","2","4","4","4","1","4","3","4","1","4","4","3","2","1","2","4","3","3","1","4","3","4","5","2","4","1","2","1","1","4","2","1","1","2","4","1","4","2","5","1","1","1","1845207"
"177",177,154,246,"481","31.044906616210938","121.40121459960938","3",NA,"1","2","2","2","3",1.53,22.2136784997223,153,"52","2","1","3","2","1","5","3","1","3","2","3","5","2","1","1","1","1","3","1","1","4","4","4","4","5","2","5","2","2","3","7","5","5","7","7","7","7","7","7","7","7","7","6","7","7","7","7","5","1","1","5","1","1","4","4","2","4","1","1","1","4","3","5","2","2","4","1","4","2","2","4","2","2","2","4","4","2","4","1","1","1","4","2","4","2","2","4","4","4","4","2","2","4","2","4","4","3","2","2","1","4","4","1","1","1","1","1","1","1","1","1","1","1","3","1844958"
"94",94,9,255,"1716","39.928802490234375","116.38888549804688","3",NA,"1","3","2","2","3",1.66,22.1367397300044,166,"61","1","1","4","1","1","5","1","1","3","3","3","3","1","3","3","3","2","2","2","3","2","4","3","3","5","2","2","2","4","3","7","5","7","3","6","7","4","7","5","6","4","4","5","5","6","6","6","4","3","4","2","3","3","3","2","3","2","4","4","4","2","2","4","4","3","2","1","3","2","2","2","2","4","4","4","4","3","4","3","3","2","4","2","3","3","2","2","4","3","2","3","2","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","3","2","4","2","2","2","1230635"
"113",113,21,452,"738","34.180496215820313","117.1571044921875","3",NA,"1","3","2","2","2",1.55,22.0603537981269,155,"53","1","1","5","3","1","5","1","2","3","4","1","3","3","3","3","3","1","2","1","4","4","4","4","4","5","4","2","4","2","4","7","3","3","4","3","6","2","7","2","5","2","3","5","2","6","2","3","3","1","2","4","2","2","2","1","2","4","2","1","2","5","5","4","5","4","1","1","2","5","5","4","2","2","3","2","4","4","2","1","2","4","3","4","5","3","1","3","4","4","4","2","2","2","3","4","4","3","2","3","2","2","4","4","4","4","2","2","4","2","4","4","4","4","4","1526447"
"126",126,70,103,"442","36.88330078125","117.70001220703125","3",NA,"1","3","5","7","4",1.65,22.038567493113,165,"60","9","4","5","4","3","5","4","3","4","3","2","3","2","4","4","3","1","2","2","4","3","4","4","2","5","2","2","2","4","4","7","5","6","5","6","5","4","7","5","6","5","3","7","6","5","6","6","3","2","2","4","2","3","2","2","2","4","2","2","2","3","2","4","4","4","3","1","3","4","5","4","2","2","3","2","3","3","3","4","4","3","4","3","2","4","3","4","4","3","3","4","2","3","2","4","4","5","3","2","2","3","5","4","3","4","3","4","4","2","3","3","4","4","3","1771835"
"188",188,195,136,"607","41.12359619140625","122.989990234375","3",NA,"1","3","6","7","4",1.65,22.038567493113,165,"60","21","16","5","4","4","5","2","2","3","3","4","4","3","5","4","3","2","3","4","4","4","5","4","4","5","4","4","4","4","5","6","6","6","7","7","6","6","7","5","6","6","5","6","6","5","6","7","5","4","4","2","4","4","5","4","4","2","4","4","5","2","2","2","2","2","4","1","4","2","2","4","2","2","4","4","4","2","4","4","5","1","4","1","2","4","4","4","4","1","2","3","4","4","4","4","4","4","4","5","3","4","4","4","4","4","4","4","4","4","4","3","5","4","4","51251"
"148",148,139,151,"534","30.29400634765625","120.16189575195313","3",NA,"1","2","3","3","4",1.58,22.0317256849864,158,"55","4","1","3","5","3","5","5","5","4","4","4","5","3","4","4","4","3","3","3","4","4","4","2","1","5","3","2","2","2","2","7","6","7","7","5","7","6","7","6","6","6","6","6","6","6","6","6","6","3","4","2","4","5","4","4","4","2","4","4","4","2","2","3","3","2","4","1","3","2","3","3","4","4","2","4","4","2","4","4","4","2","4","2","2","4","4","4","4","2","2","4","4","4","4","2","3","4","4","3","4","3","4","3","4","3","4","4","3","4","3","4","3","3","3","1844680"
"75",75,101,387,"696","22.533294677734375","114.13330078125","3",NA,"1","2","5","7","5",1.57,21.9075824577062,157,"54","11","4","5","4","3","5","2","3","4","4","4","4","2","4","5","5","5","4","5","5","2","3","2","1","5","3","2","1","2","2","7","5","4","7","6","5","4","7","6","6","5","4","5","4","5","7","7","5","3","4","3","4","5","2","4","4","2","4","5","5","2","2","2","3","1","4","1","5","2","3","2","4","3","4","4","5","2","4","4","5","1","5","1","2","4","1","5","4","1","3","4","4","5","5","4","3","4","4","3","4","4","3","3","4","4","3","4","4","4","4","5","4","3","4","1831788"
"137",137,199,118,"1860","32.06170654296875","118.77780151367188","3",NA,"1","3","5","5","4",1.57,21.9075824577062,157,"54","8","2","3","5","2","5","2","2","3","5","4","4","3","4","4","5","4","4","3","3","4","3","3","2","5","2","2","2","3","2","6","6","4","5","6","4","4","7","4","6","5","4","4","4","5","5","6","3","2","2","4","3","4","4","4","3","3","3","2","2","4","2","4","4","3","3","1","3","3","4","4","2","3","3","4","4","2","4","3","2","4","4","3","4","4","2","3","4","4","3","2","3","3","4","3","2","2","4","3","3","3","3","2","3","2","2","4","3","3","3","4","3","2","2","888200"
"197",197,150,149,"414","39.793197631835938","98.297698974609375","3",NA,"1","3","4","2","4",1.63,21.8299521999323,163,"58","2","1","6","6","6","5","6","1","2","2","2","5","2","4","2","3","4","1","2","2","3","2","2","2","5","2","2","2","4","3","7","5","5","6","5","6","3","7","5","6","5","6","5","4","6","4","4","6","3","4","3","4","5","4","2","3","1","3","2","2","3","2","3","3","2","4","1","4","3","4","2","4","2","2","4","5","2","4","5","5","2","5","2","2","4","2","4","4","2","2","4","2","4","4","2","4","4","4","4","2","2","2","3","2","2","2","4","3","4","2","2","2","2","4","1844862"
"121",121,37,216,"502","31.86419677734375","117.2864990234375","3",NA,"1","2","4","6","4",1.66,21.7738423573813,166,"60","6","3","2","2","5","5","1","2","4","4","1","4","1","5","4","5","5","5","2","5","4","4","3","2","5","2","2","1","4","3","6","6","6","7","7","5","6","7","6","7","7","5","6","6","5","7","7","5","1","2","5","1","2","2","2","4","3","4","2","4","2","1","1","2","2","5","1","5","1","3","4","2","1","1","2","3","4","2","4","4","2","4","2","1","4","4","4","4","2","2","4","2","4","4","2","3","4","4","2","3","3","3","2","2","2","2","4","2","4","2","4","4","2","2","1665594"
"48",48,123,241,"707","23.028701782226563","113.13409423828125","3",NA,"1","3","6","7","5",1.57,21.5018864862672,157,"53","10","5","6","6","5","5","4","2","1","4","3","5","3","5","5","5","5","5","5","5","4","4","3","2","5","2","3","2","3","2","7","7","6","6","7","6","5","7","5","7","6","4","5","7","7","7","5","4","1","1","5","1","4","5","5","5","1","4","3","2","2","2","4","4","2","4","1","5","3","4","4","2","3","5","5","5","2","5","5","5","1","5","1","1","5","4","4","4","2","1","5","4","4","4","5","4","5","5","4","3","2","4","4","3","4","4","5","4","4","5","5","5","4","5","1840211"
"47",47,182,444,"529","28.178298950195313","113.1116943359375","3",NA,"1","3","6","7","4",1.66,21.4109449847583,166,"59","17","5","5","2","1","5","3","3","4","5","4","5","2","5","5","5","5","2","5","5","3","2","4","4","5","2","2","2","4","3","6","6","6","6","6","6","6","7","6","6","6","6","6","6","6","6","6","6","4","4","1","4","4","4","4","4","1","1","4","4","1","1","4","2","2","4","1","4","2","2","2","4","3","4","4","4","2","4","4","4","2","4","1","1","5","4","5","4","2","2","4","2","4","4","4","3","3","4","2","4","3","3","4","2","4","4","4","3","4","3","4","2","3","3","1845272"
"178",178,160,298,"488","31.044906616210938","121.40121459960938","3",NA,"1","2","4","5","5",1.66,21.4109449847583,166,"59","3","1","6","2","5","5","2","1","2","2","2","5","1","5","1","4","5","2","4","5","3","3","2","1","5","2","4","1","4","3","7","5","6","4","5","6","4","7","6","6","6","6","4","5","6","7","7","7","1","1","5","2","3","4","5","3","4","5","5","5","2","1","4","4","2","5","1","5","1","4","2","2","3","5","5","5","1","5","3","2","4","5","3","3","5","2","4","4","2","1","4","2","4","5","4","3","4","4","4","2","3","4","5","3","4","1","3","5","5","3","5","4","3","3","1845033"
"15",15,51,68,"909","29.341598510742188","104.77688598632813","3",NA,"1","3","4","3","4",1.61,21.2183171945527,161,"55","9","2","3","4","2","5","1","2","2","3","2","4","2","4","3","3","3","3","2","4","3","4","4","2","5","2","3","3","3","3","6","5","5","4","4","6","4","7","5","6","5","5","4","4","5","4","4","3","3","2","3","3","4","3","2","3","2","2","1","2","2","2","4","4","4","2","1","3","3","4","4","2","2","4","3","4","2","3","4","3","3","4","3","2","2","1","2","4","4","5","2","1","2","2","2","3","4","2","2","1","3","3","3","3","3","2","4","4","3","3","4","3","3","4","1731502"
"162",162,43,169,"840","31.304092407226563","120.59539794921875","3",NA,"1","3","4","6","4",1.61,21.2183171945527,161,"55","6","4","2","2","2","5","3","1","3","4","3","4","2","4","4","3","3","3","2","4","2","3","3","2","5","2","3","2","3","3","6","5","4","5","6","5","4","7","4","5","5","4","4","6","4","5","4","4","3","4","2","3","4","4","4","4","2","4","3","4","2","2","3","3","2","3","1","4","2","3","3","3","2","4","4","5","2","4","4","4","2","4","2","2","4","3","4","4","2","3","4","2","4","4","4","3","4","3","2","3","2","4","4","3","4","3","4","4","4","3","3","4","4","3","1687057"
"192",192,121,76,"497","41.780593872070313","123.43121337890625","3",NA,"1","2","4","3","5",1.61,21.2183171945527,161,"55","7","4","1","3","1","5","1","1","4","5","4","5","4","5","3","2","5","1","2","1","5","2","5","5","5","1","1","2","4","2","7","7","3","3","7","7","6","7","7","7","6","5","5","7","7","5","7","6","1","1","5","1","1","1","1","1","1","1","1","1","5","1","1","2","5","3","1","5","5","4","2","4","1","1","1","5","5","5","4","4","2","4","2","1","1","1","1","4","5","5","1","1","1","1","3","4","4","4","3","1","2","2","3","3","4","3","4","4","2","2","1","3","3","4","1839766"
"194",194,74,250,"618","45.75","126.64999389648438","3",NA,"1","2","3","3","2",1.66,21.0480476121353,166,"58","3","2","3","5","2","5","4","1","4","4","3","4","2","5","5","5","4","5","4","4","3","4","2","2","5","2","4","2","4","2","4","4","5","4","4","6","4","7","5","7","4","4","4","6","4","5","5","4","3","2","3","2","3","2","4","4","2","2","3","2","2","2","3","2","3","3","1","4","2","3","2","4","4","4","4","5","2","5","4","4","2","4","3","2","4","4","4","4","2","2","4","1","4","4","3","3","2","2","2","1","1","4","3","4","3","3","4","3","4","3","4","3","3","3","1775808"
"34",34,134,269,"867","34.259796142578125","108.92941284179688","3",NA,"1","3","4","5","2",1.6,21.015625,160,"53.8","5","3","5","2","6","5","4","3","3","4","2","5","4","5","4","5","3","2","4","5","2","5","4","1","5","4","5","3","2","4","6","5","2","7","7","6","3","7","5","5","6","1","4","5","7","7","5","2","3","4","1","5","5","4","2","1","4","2","1","5","1","2","4","5","4","2","1","5","2","5","2","4","5","5","5","5","2","5","4","5","2","4","1","1","4","2","5","4","1","1","4","5","4","4","2","3","4","4","3","2","2","1","1","2","1","1","5","2","4","2","5","5","2","5","1844456"
"53",53,64,109,"672","23.11669921875","113.25","3",NA,"1","3","6","7","5",1.64,20.8209399167162,164,"56","21","7","5","4","5","5","3","2","2","3","3","4","2","5","5","3","1","4","3","5","4","4","4","4","5","4","4","4","4","4","7","6","6","6","6","6","6","7","7","7","6","6","6","6","6","6","6","6","1","1","1","1","1","4","2","1","2","4","1","4","2","2","4","4","4","4","1","4","2","4","4","2","2","4","4","4","4","2","4","4","2","4","2","2","4","2","4","4","2","2","4","4","4","4","4","3","5","4","4","3","4","5","4","4","4","4","4","4","4","4","3","4","4","4","1751877"
"11",11,175,414,"486","30.666702270507813","104.06671142578125","3",NA,"1","2","5","3","4",1.55,20.8116545265349,155,"50","8","2","3","3","5","5","4","1","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","5","2","2","2","2","3","6","4","4","4","5","5","5","7","4","5","5","5","6","6","6","6","6","3","1","1","5","1","1","4","4","4","2","4","4","4","2","2","3","3","2","4","1","3","2","2","2","4","4","4","4","4","2","4","4","4","2","4","2","2","4","4","4","4","2","2","4","4","4","4","4","4","4","4","3","3","4","4","4","3","3","4","4","3","4","3","4","3","3","3","1845198"
"102",102,136,236,"631","39.928802490234375","116.38888549804688","3",NA,"1","2","3","3","5",1.67,20.7967298935064,167,"58","4","1","3","5","1","5","1","1","2","4","4","5","2","4","4","4","4","2","4","4","2","2","2","2","5","4","2","2","4","2","6","6","6","6","6","6","4","7","6","6","6","4","4","5","6","7","7","6","3","3","3","2","4","4","4","4","2","4","4","4","2","2","3","2","2","4","1","4","2","3","1","4","3","3","4","4","2","4","4","4","2","4","2","3","4","4","4","4","2","2","4","2","4","4","4","3","4","4","3","3","4","4","4","2","4","4","4","4","4","3","4","3","3","3","1844507"
"95",95,36,110,"509","39.928802490234375","116.38888549804688","3",NA,"1","2","3","5","5",1.73,20.7156938086805,173,"62","5","1","5","5","1","5","2","4","3","2","2","4","2","5","5","4","4","2","5","5","3","4","2","2","5","2","2","2","4","2","7","6","6","6","7","5","6","7","5","6","6","5","6","7","5","7","7","5","4","4","1","4","4","4","4","4","2","4","4","4","2","2","3","2","2","4","1","4","2","2","2","4","4","3","4","4","2","4","4","4","3","4","3","3","4","3","4","4","2","2","4","2","4","4","4","3","4","4","3","3","4","3","3","3","4","4","4","3","4","4","4","4","3","4","1656195"
"7",7,77,224,"877","30.666702270507813","104.06671142578125","3",NA,"1","3","4","5","5",1.6,20.703125,160,"53","13","3","6","2","3","5","2","1","4","4","3","3","2","4","4","4","2","2","2","4","4","3","3","2","5","3","3","2","3","3","7","4","7","5","6","7","4","7","7","6","5","7","6","6","6","7","6","7","3","4","3","3","4","3","2","3","3","4","3","3","3","2","5","3","2","3","1","4","2","4","2","4","2","4","4","4","2","4","4","3","2","4","2","2","3","2","3","4","4","4","3","3","3","4","3","3","4","3","3","3","3","4","4","3","3","3","4","4","3","2","4","3","3","3","1779971"
"89",89,99,327,"439","29.607894897460938","115.88720703125","3",NA,"1","3","4","2","5",1.6,20.703125,160,"53","2","1","2","4","1","5","2","1","4","4","2","4","2","4","5","5","3","5","3","3","4","2","4","4","5","2","3","2","2","4","6","5","7","5","6","7","5","7","6","6","6","7","6","4","6","6","5","6","4","4","3","2","4","3","4","4","3","4","4","4","2","2","4","4","2","4","1","4","2","5","4","2","2","4","4","4","2","4","4","4","2","4","3","3","4","3","4","4","3","3","4","4","4","4","3","3","4","4","3","4","3","4","4","3","3","4","4","4","3","4","4","4","3","4","1829576"
"77",77,122,291,"1090","22.533294677734375","114.13330078125","3",NA,"1","2","3","3","4",1.63,20.7008167413151,163,"55","2","2","5","5","6","5","1","1","2","4","2","5","1","5","5","5","4","5","2","5","2","3","1","1","5","1","2","1","4","2","7","6","6","4","7","6","3","7","5","6","3","3","5","7","7","5","5","6","1","2","4","1","1","5","4","5","1","4","2","2","2","4","4","4","3","1","1","3","3","4","2","2","2","2","4","4","3","2","1","1","5","5","5","5","1","1","1","4","5","5","1","1","1","5","3","3","1","1","2","1","2","3","3","2","3","1","2","4","4","3","4","1","1","4","1839825"
"43",43,188,97,"1176","22.583297729492188","113.08331298828125","3",NA,"1","3","5","6","5",1.62,20.5761316872428,162,"54","9","4","6","4","5","5","4","1","4","4","2","4","2","5","4","4","2","3","2","5","4","5","3","2","5","2","4","2","4","3","7","7","5","6","7","5","6","7","5","6","7","5","6","7","5","6","7","5","3","4","2","4","4","4","4","4","2","4","4","5","2","1","2","2","2","4","1","5","2","2","2","4","3","4","4","5","2","4","4","4","2","5","2","2","5","4","5","4","1","2","4","2","5","4","4","4","5","4","3","3","4","5","3","4","3","4","4","3","4","4","5","3","3","4","332851"
"64",64,40,409,"653","22.279296875","113.56829833984375","3",NA,"1","2","4","3","4",1.65,20.5693296602388,165,"56","11","6","6","1","2","5","3","1","4","3","3","4","2","5","5","5","5","5","5","5","4","3","4","2","5","2","3","3","3","3","6","6","6","5","7","6","5","7","6","7","6","5","5","6","5","6","5","4","2","2","3","3","3","4","3","4","3","4","4","4","2","2","1","2","3","3","1","3","3","3","2","4","3","4","4","4","3","4","4","3","3","4","3","3","4","3","4","4","3","3","4","3","4","4","4","4","5","4","3","3","4","4","4","4","4","4","4","4","4","4","4","3","4","4","1680113"
"158",158,198,294,"995","31.568893432617188","120.28860473632813","3",NA,"1","3","5","6","4",1.65,20.5693296602388,165,"56","8","2","4","5","1","5","1","2","2","3","2","4","2","4","4","4","4","4","4","4","2","2","2","1","5","1","3","2","4","2","7","6","6","5","5","7","5","7","5","6","6","6","6","6","7","6","6","6","1","1","5","1","1","4","4","4","2","4","4","4","2","2","2","2","2","4","1","4","1","2","4","2","3","4","4","5","1","4","5","5","1","5","1","1","5","4","5","4","2","2","5","4","4","4","4","4","2","4","2","4","4","2","3","2","2","2","4","3","3","2","4","2","3","4","870021"
"167",167,92,94,"539","32.030303955078125","120.87469482421875","3",NA,"1","2","4","4","4",1.71,20.5191340925413,171,"60","6","2","5","5","5","5","2","1","4","4","2","3","2","4","2","4","2","3","2","4","4","4","4","2","5","2","2","2","2","3","7","4","6","5","6","7","5","7","6","6","6","7","5","6","7","6","6","7","2","2","4","2","2","4","4","4","4","4","4","4","2","2","4","4","2","2","1","2","4","5","2","4","2","2","4","4","2","4","4","4","2","4","2","2","4","2","4","4","2","4","4","2","4","2","4","4","4","2","3","2","2","3","4","2","4","4","4","4","4","4","2","2","3","4","1809533"
"19",19,13,62,"617","29.556900024414063","106.5531005859375","3",NA,"1","3","4","5","4",1.64,20.4491374182035,164,"55","6","3","4","4","5","5","2","2","4","4","3","5","3","4","4","4","4","4","3","5","4","4","2","2","5","2","3","2","4","2","6","6","4","5","6","6","5","7","4","6","6","5","4","5","5","7","6","3","4","4","2","4","5","4","4","4","2","4","4","4","2","2","3","2","2","4","1","4","2","2","2","4","3","4","4","4","2","4","4","5","2","4","2","2","4","4","4","4","2","2","4","3","4","4","4","4","5","4","4","4","4","4","4","4","4","4","5","5","4","4","4","4","4","4","1321572"
"123",123,140,82,"414","31.86419677734375","117.2864990234375","3",NA,"1","2","6","5","5",1.61,20.4467420238417,161,"53","13","4","4","6","1","5","4","4","3","2","2","4","2","5","3","3","5","5","5","5","2","2","1","1","5","2","2","2","3","2","6","5","4","4","6","5","5","7","4","6","5","5","4","6","3","4","4","3","3","5","1","3","5","4","4","4","2","4","5","5","2","2","2","2","1","4","1","4","2","2","2","4","5","3","5","4","1","5","4","4","2","5","2","3","3","2","4","4","3","2","4","4","4","4","2","3","3","4","3","2","4","2","1","2","2","2","5","2","5","2","5","3","2","4","1844691"
"55",55,76,275,"741","23.11669921875","113.25","3",NA,"1","2","5","6","4",1.67,20.4381655849977,167,"57","8","4","3","4","4","5","3","1","4","4","2","5","2","4","4","4","4","4","1","5","2","2","3","4","5","2","3","2","4","2","6","6","4","6","6","5","6","7","4","6","6","4","5","7","4","7","5","4","4","4","3","4","5","4","4","4","1","3","4","3","2","1","3","2","2","3","1","4","2","3","3","3","2","4","3","5","2","4","4","4","2","4","3","2","4","4","4","4","2","2","3","2","4","4","3","3","4","4","3","2","3","3","3","3","2","4","4","3","3","2","4","3","3","3","1777874"
"24",24,91,174,"1107","26.583297729492188","106.71670532226563","3",NA,"1","2","4","3","2",1.58,20.4294183624419,158,"51","11","2","3","6","2","5","1","5","2","3","3","5","1","3","4","3","2","1","2","4","4","3","4","2","5","2","3","3","3","3","6","5","5","5","6","6","4","7","5","6","6","5","5","6","5","6","7","4","3","2","4","3","4","5","4","4","2","4","3","4","2","2","3","3","3","4","1","4","2","4","3","4","3","4","4","4","3","4","3","4","2","4","2","3","3","4","4","4","3","2","4","4","4","3","3","3","3","4","3","3","2","4","4","4","3","3","4","4","4","3","4","3","4","3","1805590"
"30",30,176,415,"541","22.813705444335938","108.31460571289063","3",NA,"1","2","4","3","2",1.58,20.4294183624419,158,"51","4","4","4","4","1","5","2","1","4","2","2","4","3","4","1","1","1","1","1","4","3","2","4","4","5","2","2","2","4","3","7","6","7","5","7","7","4","7","6","6","5","5","4","7","7","5","6","4","3","2","1","4","4","4","4","3","3","2","2","3","3","3","4","4","2","3","1","3","2","3","4","2","2","4","2","4","2","4","3","3","2","4","3","4","4","3","4","4","3","2","4","2","4","4","4","3","4","4","2","2","4","3","2","2","3","4","3","2","4","3","4","2","2","2","1845199"
"84",84,168,372,"903","34.74420166015625","114.41860961914063","3",NA,"1","2","2","2","2",1.52,20.3427977839335,152,"47","1","1","5","5","5","5","5","5","3","3","3","4","2","3","4","4","2","1","2","4","3","5","2","2","5","2","2","2","2","2","7","6","5","6","6","5","4","7","4","5","6","6","7","7","5","7","7","4","1","1","5","1","3","2","2","2","4","2","2","2","4","2","2","4","2","2","1","5","2","5","2","5","4","4","4","5","2","4","4","2","3","5","1","1","5","4","5","4","2","1","5","5","4","4","4","3","4","4","2","1","3","3","4","1","1","1","4","2","2","2","4","2","2","2","1845137"
"33",33,119,205,"430","34.259796142578125","108.92941284179688","3",NA,"1","2","5","5","5",1.66,20.3222528668892,166,"56","16","4","6","6","2","5","2","2","2","2","2","5","2","5","4","4","5","5","2","2","4","3","2","2","5","2","3","3","3","3","7","4","6","4","7","7","4","7","4","7","6","4","6","7","7","6","6","2","4","4","1","4","4","4","4","4","1","4","4","4","1","2","2","2","2","5","1","4","2","3","2","4","3","2","4","5","2","4","5","5","1","5","1","1","4","4","4","4","1","1","4","5","4","5","4","4","5","5","3","2","1","5","4","5","5","5","5","4","4","3","5","4","4","3","1839382"
"31",31,165,348,"1180","34.337799072265625","108.70260620117188","3",NA,"1","3","3","3","5",1.6,20.3125,160,"52","1","1","5","1","4","5","2","1","2","4","4","5","2","5","5","5","5","5","3","5","3","4","2","2","5","2","2","2","1","2","7","4","6","5","5","5","4","7","5","5","6","6","7","7","5","7","5","5","4","4","1","4","5","4","4","4","2","3","3","3","3","2","3","3","2","3","1","3","2","3","2","4","4","4","4","4","2","4","3","3","3","4","3","4","2","3","3","4","4","2","2","4","2","3","2","4","3","2","2","2","2","3","3","2","3","3","3","3","3","3","4","2","2","3","1845101"
"67",67,22,66,"913","35.1903076171875","113.801513671875","3",NA,"1","3","4","3","4",1.6,20.3125,160,"52","33","3","6","4","1","5","5","2","4","3","1","3","2","4","4","4","3","3","3","5","4","3","3","2","5","2","3","4","3","3","7","5","6","5","6","6","5","7","6","6","6","6","6","7","7","5","6","6","3","2","3","2","3","4","3","3","2","3","4","3","2","1","3","2","2","3","1","4","2","2","2","4","3","3","3","4","3","4","3","4","3","4","3","3","2","3","4","4","3","3","3","3","4","4","3","4","4","4","3","2","3","4","3","3","3","3","4","3","4","4","4","3","3","3","1557984"
"135",135,113,313,"757","32.06170654296875","118.77780151367188","3",NA,"1","2","6","5","4",1.6,20.3125,160,"52","13","6","4","5","6","5","2","1","3","4","4","5","2","5","5","4","5","2","4","4","4","4","4","2","5","4","4","2","4","4","7","7","5","6","7","5","7","7","6","7","6","4","5","7","6","6","7","6","4","5","1","5","5","5","5","5","1","1","4","5","1","1","4","3","2","5","1","4","2","2","2","4","2","4","4","5","1","5","4","4","1","5","2","2","5","4","5","4","1","1","5","2","4","4","4","4","4","4","4","2","4","4","4","3","4","4","4","4","4","3","4","3","3","3","1838255"
"112",112,181,434,"613","25.107192993164063","117.02249145507813","3",NA,"1","2","3","4","4",1.55,20.312174817898,155,"48.8","6","3","2","3","1","5","6","1","3","4","2","5","2","4","5","4","3","3","2","4","4","5","2","2","5","2","2","2","2","2","7","5","4","7","6","6","4","7","4","6","6","3","5","6","6","7","7","2","1","1","5","1","1","4","4","4","2","4","4","5","2","2","2","2","2","1","1","3","2","4","4","2","4","4","4","5","1","5","4","4","2","5","2","2","5","2","3","4","2","1","5","3","5","4","3","4","4","5","3","2","2","4","4","3","4","4","4","4","5","4","5","4","4","4","1845246"
